ScopeType,ScopeValue,Algorithm,Tests,Successful,SuccessRate,AvgTime,MedianTime,StdTime,MinTime,MaxTime,AvgPathLength,MedianPathLength,StdPathLength,MinPathLength,MaxPathLength,AvgIterations,MedianIterations,StdIterations,MinIterations,MaxIterations,ComparableTests,OptimalMatches,OptimalityRate,AvgRelativeErrorPct,MaxRelativeErrorPct,AvgExcessLength,AvgTimeRatioVsDijkstra,MedianTimeRatioVsDijkstra
Size,Medium(16-50),A*,28,28,100,9.09693e-06,6.9275e-06,6.11746e-06,3.048e-06,2.7093e-05,11.6887,6.25202,13.9108,1.26164,63.5271,1,1,0,1,1,28,28,100,0,0,0,1.1263,1.11682
Size,Medium(16-50),Floyd-Warshall,28,28,100,9.72448e-05,4.63105e-05,0.000100591,2.1113e-05,0.000372911,11.6887,6.25202,13.9108,1.26164,63.5271,1,1,0,1,1,28,28,100,0,0,0,10.3747,8.69567
Size,Large(51-100),ACO,10,10,100,0.22716,0.194584,0.177597,0.033179,0.6103,4.33464,4.33452,0.723038,2.71591,5.75429,39.8,40,8.79545,26,51,10,9,90,0.805687,8.05687,0.029959,4795.51,5450.38
Size,Large(51-100),Dijkstra,10,10,100,4.09814e-05,3.24615e-05,1.84687e-05,2.1045e-05,7.1831e-05,4.30468,4.33452,0.741507,2.71591,5.75429,1,1,0,1,1,10,10,100,0,0,0,1,1
Size,Large(51-100),A*,10,10,100,3.86315e-05,2.69615e-05,2.19172e-05,1.7284e-05,8.164e-05,4.30468,4.33452,0.741507,2.71591,5.75429,1,1,0,1,1,10,10,100,0,0,0,0.92407,0.906629
Size,Large(51-100),Floyd-Warshall,10,10,100,0.00118104,0.00111232,0.000488215,0.000513026,0.00197508,4.30468,4.33452,0.741507,2.71591,5.75429,1,1,0,1,1,10,10,100,0,0,0,30.0565,29.6843
Size,Huge(101+),ACO,30,30,100,2.23596,1.80171,1.58662,0.469293,6.83159,3.99316,4.0625,1.18305,1.72758,6.60183,80.6,81.5,14.8113,56,102,30,30,100,0,0,0,23241.2,16466.6
Size,Huge(101+),Dijkstra,30,30,100,0.000131035,0.000113374,8.58618e-05,1.5682e-05,0.000336966,3.99316,4.0625,1.18305,1.72758,6.60183,1,1,0,1,1,30,30,100,0,0,0,1,1
Size,Huge(101+),A*,30,30,100,0.000121427,0.000119085,6.97292e-05,1.7224e-05,0.000271242,3.99316,4.0625,1.18305,1.72758,6.60183,1,1,0,1,1,30,30,100,0,0,0,0.998358,0.942333
Size,Huge(101+),Floyd-Warshall,30,30,100,0.00653608,0.00554157,0.00337065,0.00229877,0.0159883,3.99316,4.0625,1.18305,1.72758,6.60183,1,1,0,1,1,30,30,100,0,0,0,79.6993,52.957
